
RevBayes version (1.2.3)
Build from read_simmap (rapture-2810-g799e73) on Mon Sep  2 12:46:43 CEST 2024
MPI enabled: using 2 processes.

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


>    Processing file "scripts/2_simulation/false_positive/DPP.Rev"
   Attempting to read the contents of file "mammal_diet_perMY_n500.tre"
   Successfully read file
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_3/continuous_stateless.nex'
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_3/discrete.nex'
   
   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************

   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
18000       |       -1701.79   |       -1706.48   |         4.6815   |     0.00497389      |  0.00497389   |   03:27:44   |   06:09:18   |
19000       |        -1741.4   |       -1746.05   |         4.6519   |      0.0038462      |   0.0038462   |   03:39:16   |   05:57:45   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
20000       |       -1678.66   |       -1683.34   |        4.68244   |     0.00467556      |  0.00467556   |   03:50:49   |   05:46:13   |
21000       |        -1661.4   |       -1666.08   |        4.68236   |      0.0076969      |   0.0076969   |   04:02:21   |   05:34:40   |
22000       |       -1693.26   |       -1697.89   |        4.63601   |     0.00519312      |  0.00519312   |   04:13:53   |   05:23:07   |
23000       |       -1739.43   |       -1743.95   |        4.51911   |     0.00595179      |  0.00595179   |   04:25:26   |   05:11:35   |
24000       |       -1671.18   |       -1675.86   |         4.6751   |     0.00376322      |  0.00376322   |   04:36:57   |   05:00:01   |
25000       |       -1784.64   |          -1789   |        4.35678   |     0.00440517      |  0.00440517   |   04:48:29   |   04:48:29   |
26000       |       -1672.43   |        -1677.1   |        4.66915   |     0.00561893      |  0.00561893   |   05:00:02   |   04:36:57   |
27000       |       -1643.18   |       -1647.85   |        4.67359   |     0.00639794      |  0.00639794   |   05:11:34   |   04:25:24   |
28000       |       -1614.95   |       -1619.63   |        4.67719   |     0.00765886      |  0.00765886   |   05:23:06   |   04:13:51   |
29000       |        -1690.7   |       -1695.37   |        4.67281   |     0.00539147      |  0.00539147   |   05:34:39   |   04:02:19   |
30000       |       -1707.89   |       -1712.47   |        4.57862   |     0.00585809      |  0.00585809   |   05:46:11   |   03:50:47   |
31000       |       -1695.64   |       -1700.21   |         4.5699   |     0.00700016      |  0.00700016   |   05:57:43   |   03:39:14   |
32000       |       -1612.92   |       -1617.58   |        4.66348   |     0.00640709      |  0.00640709   |   06:09:22   |   03:27:46   |
33000       |       -1753.59   |       -1758.05   |        4.46637   |     0.00375877      |  0.00375877   |   06:20:54   |   03:16:13   |
34000       |       -1628.75   |       -1633.15   |        4.39775   |     0.00660566      |  0.00660566   |   06:32:33   |   03:04:43   |
35000       |       -1662.88   |       -1667.53   |        4.65004   |     0.00607048      |  0.00607048   |   06:44:00   |   02:53:08   |
36000       |       -1621.43   |       -1626.07   |        4.63776   |     0.00597075      |  0.00597075   |   06:55:16   |   02:41:29   |
37000       |       -1714.13   |       -1718.78   |        4.65094   |     0.00719815      |  0.00719815   |   07:06:29   |   02:29:50   |
38000       |       -1744.99   |       -1749.67   |        4.68146   |     0.00549624      |  0.00549624   |   07:17:39   |   02:18:12   |
39000       |       -1715.21   |       -1719.88   |        4.67027   |     0.00428013      |  0.00428013   |   07:28:47   |   02:06:34   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
40000       |       -1686.07   |       -1690.71   |        4.64324   |     0.00595364      |  0.00595364   |   07:39:53   |   01:54:58   |
41000       |       -1653.81   |       -1658.47   |         4.6635   |     0.00723441      |  0.00723441   |   07:50:59   |   01:43:23   |
42000       |       -1669.88   |       -1674.54   |        4.65869   |     0.00583539      |  0.00583539   |   08:02:07   |   01:31:49   |
43000       |       -1636.99   |       -1641.68   |         4.6811   |      0.0041077      |   0.0041077   |   08:13:16   |   01:20:17   |
44000       |       -1710.14   |       -1714.58   |         4.4469   |     0.00469327      |  0.00469327   |   08:24:21   |   01:08:46   |
45000       |       -1629.81   |        -1634.4   |        4.59638   |     0.00638983      |  0.00638983   |   08:35:29   |   00:57:16   |
46000       |       -1744.71   |       -1749.39   |        4.67581   |     0.00517062      |  0.00517062   |   08:46:34   |   00:45:47   |
47000       |       -1720.13   |       -1724.78   |         4.6496   |     0.00664752      |  0.00664752   |   08:57:44   |   00:34:19   |
48000       |       -1656.01   |       -1660.67   |        4.66416   |     0.00545972      |  0.00545972   |   09:08:52   |   00:22:52   |
49000       |       -1644.36   |       -1648.81   |        4.44893   |     0.00634218      |  0.00634218   |   09:20:01   |   00:11:25   |
50000       |       -1665.95   |       -1670.56   |        4.60645   |     0.00466348      |  0.00466348   |   09:31:10   |   00:00:00   |
