
RevBayes version (1.2.3)
Build from read_simmap (rapture-2810-g799e73) on Mon Sep  2 12:46:43 CEST 2024
MPI enabled: using 2 processes.

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


>    Processing file "scripts/2_simulation/false_positive/DPP.Rev"
   Attempting to read the contents of file "mammal_diet_perMY_n500.tre"
   Successfully read file
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_3/continuous_stateless.nex'
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_3/discrete.nex'
   
   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************

   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |       -1687.91   |       -1692.56   |        4.65403   |     0.00523084      |  0.00523084   |   00:00:00   |   --:--:--   |
1000        |       -1643.99   |       -1648.67   |        4.67925   |     0.00424582      |  0.00424582   |   00:11:34   |   --:--:--   |
2000        |        -1661.3   |       -1665.97   |        4.66937   |     0.00484013      |  0.00484013   |   00:23:06   |   09:14:24   |
3000        |       -1679.79   |       -1684.35   |        4.55539   |     0.00641259      |  0.00641259   |   00:34:38   |   09:02:35   |
4000        |       -1705.89   |       -1710.57   |        4.67188   |     0.00508162      |  0.00508162   |   00:46:11   |   08:51:06   |
5000        |       -1708.03   |       -1712.68   |        4.64985   |     0.00699516      |  0.00699516   |   00:57:43   |   08:39:27   |
6000        |       -1703.41   |       -1708.07   |        4.65778   |     0.00498681      |  0.00498681   |   01:09:15   |   08:27:50   |
7000        |       -1734.81   |       -1739.22   |        4.41122   |     0.00746394      |  0.00746394   |   01:20:48   |   08:16:20   |
8000        |       -1740.33   |       -1744.88   |        4.55029   |     0.00818233      |  0.00818233   |   01:32:20   |   08:04:45   |
9000        |       -1717.61   |       -1722.03   |        4.42649   |     0.00537138      |  0.00537138   |   01:43:53   |   07:53:14   |
10000       |       -1703.94   |       -1708.61   |        4.66987   |     0.00412748      |  0.00412748   |   01:55:25   |   07:41:40   |
11000       |        -1669.2   |       -1673.85   |        4.65244   |     0.00493639      |  0.00493639   |   02:06:57   |   07:30:05   |
12000       |       -1720.92   |        -1725.6   |        4.68152   |     0.00440079      |  0.00440079   |   02:18:30   |   07:18:35   |
13000       |       -1752.95   |       -1757.61   |         4.6528   |     0.00639108      |  0.00639108   |   02:30:02   |   07:07:01   |
14000       |       -1706.08   |       -1710.68   |         4.5974   |     0.00320811      |  0.00320811   |   02:41:35   |   06:55:30   |
15000       |       -1629.98   |       -1634.63   |        4.64704   |     0.00845551      |  0.00845551   |   02:53:07   |   06:43:56   |
16000       |       -1646.37   |       -1650.96   |        4.58294   |     0.00513034      |  0.00513034   |   03:04:39   |   06:32:22   |
17000       |       -1724.07   |       -1728.74   |        4.66773   |     0.00359539      |  0.00359539   |   03:16:12   |   06:20:51   |
