
RevBayes version (1.2.3)
Build from read_simmap (rapture-2810-g799e73) on Mon Sep  2 12:46:43 CEST 2024
MPI enabled: using 2 processes.

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


>    Processing file "scripts/2_simulation/false_positive/DPP.Rev"
   Attempting to read the contents of file "mammal_diet_perMY_n500.tre"
   Successfully read file
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_3/continuous_stateless.nex'
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_3/discrete.nex'
   
   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************

   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |       -1640.06   |       -1644.73   |        4.66563   |     0.00719117      |  0.00719117   |   00:00:00   |   --:--:--   |
1000        |        -1610.6   |       -1615.17   |        4.57272   |     0.00354473      |  0.00354473   |   00:11:56   |   --:--:--   |
2000        |       -1671.18   |       -1675.86   |        4.68252   |     0.00339992      |  0.00339992   |   00:24:01   |   09:36:24   |
3000        |       -1659.33   |          -1664   |        4.66583   |     0.00391869      |  0.00391869   |   00:35:46   |   09:20:20   |
4000        |       -1656.09   |       -1660.71   |          4.619   |     0.00596153      |  0.00596153   |   00:47:46   |   09:09:19   |
5000        |       -1641.32   |          -1646   |        4.67941   |     0.00524606      |  0.00524606   |   00:59:36   |   08:56:24   |
6000        |       -1701.49   |       -1706.17   |        4.67415   |     0.00366531      |  0.00366531   |   01:11:27   |   08:43:58   |
7000        |       -1692.97   |       -1697.51   |        4.54488   |     0.00571481      |  0.00571481   |   01:23:14   |   08:31:17   |
8000        |       -1693.78   |        -1698.4   |        4.61941   |     0.00515238      |  0.00515238   |   01:35:02   |   08:18:55   |
9000        |       -1730.14   |       -1734.76   |        4.62949   |     0.00534817      |  0.00534817   |   01:46:56   |   08:07:08   |
10000       |       -1726.15   |       -1730.73   |        4.57193   |     0.00337257      |  0.00337257   |   01:58:41   |   07:54:44   |
11000       |       -1785.33   |       -1789.98   |        4.64603   |     0.00258017      |  0.00258017   |   02:10:31   |   07:42:44   |
12000       |       -1689.19   |       -1693.87   |        4.68128   |      0.0018419      |   0.0018419   |   02:22:12   |   07:30:18   |
13000       |        -1731.8   |       -1736.42   |        4.61334   |     0.00278322      |  0.00278322   |   02:33:59   |   07:18:15   |
14000       |       -1645.67   |       -1650.36   |        4.68248   |     0.00432472      |  0.00432472   |   02:45:58   |   07:06:46   |
15000       |       -1660.76   |       -1665.44   |        4.68191   |     0.00355491      |  0.00355491   |   02:57:54   |   06:55:06   |
16000       |        -1788.7   |       -1793.21   |        4.51172   |     0.00345426      |  0.00345426   |   03:09:45   |   06:43:13   |
17000       |       -1635.28   |       -1639.89   |        4.61338   |     0.00556939      |  0.00556939   |   03:21:27   |   06:31:03   |
18000       |       -1727.67   |       -1732.34   |        4.67032   |     0.00215088      |  0.00215088   |   03:33:04   |   06:18:47   |
19000       |       -1722.11   |       -1726.79   |        4.68251   |     0.00370426      |  0.00370426   |   03:44:57   |   06:07:01   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
20000       |       -1678.49   |       -1683.13   |        4.63869   |     0.00329545      |  0.00329545   |   03:56:51   |   05:55:16   |
21000       |       -1666.98   |       -1671.66   |        4.68118   |     0.00723129      |  0.00723129   |   04:08:37   |   05:43:19   |
22000       |       -1679.04   |       -1683.72   |        4.68226   |     0.00515392      |  0.00515392   |   04:20:23   |   05:31:23   |
