
RevBayes version (1.2.3)
Build from read_simmap (rapture-2810-g799e73) on Mon Sep  2 12:46:43 CEST 2024
MPI enabled: using 2 processes.

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


>    Processing file "scripts/2_simulation/false_positive/DPP.Rev"
   Attempting to read the contents of file "mammal_diet_perMY_n500.tre"
   Successfully read file
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_3/continuous_sd.nex'
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_3/discrete.nex'
   
   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************

   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |       -1594.68   |       -1599.25   |        4.56963   |     0.00944455      |  0.00944455   |   00:00:00   |   --:--:--   |
1000        |        -1553.3   |       -1557.68   |         4.3759   |     0.00637971      |  0.00637971   |   00:11:46   |   --:--:--   |
2000        |       -1585.44   |       -1590.05   |         4.6118   |      0.0112137      |   0.0112137   |   00:23:32   |   09:24:48   |
3000        |       -1493.57   |       -1498.24   |        4.66665   |     0.00712163      |  0.00712163   |   00:35:18   |   09:13:02   |
4000        |       -1599.85   |        -1604.5   |        4.64823   |     0.00815944      |  0.00815944   |   00:47:05   |   09:01:27   |
5000        |       -1558.27   |       -1562.95   |        4.68231   |     0.00714182      |  0.00714182   |   00:58:51   |   08:49:39   |
6000        |       -1543.68   |       -1548.36   |         4.6795   |     0.00694026      |  0.00694026   |   01:10:38   |   08:37:58   |
7000        |       -1563.62   |       -1568.29   |        4.67402   |      0.0116687      |   0.0116687   |   01:22:24   |   08:26:10   |
8000        |       -1500.96   |       -1505.64   |        4.67723   |      0.0102721      |   0.0102721   |   01:34:10   |   08:14:22   |
9000        |       -1521.43   |       -1526.11   |        4.67259   |     0.00509517      |  0.00509517   |   01:45:55   |   08:02:30   |
10000       |        -1525.3   |       -1529.97   |        4.66703   |     0.00507176      |  0.00507176   |   01:57:40   |   07:50:40   |
11000       |       -1534.95   |       -1539.61   |        4.65603   |     0.00606533      |  0.00606533   |   02:09:27   |   07:38:57   |
12000       |       -1505.38   |       -1510.04   |        4.65798   |     0.00770245      |  0.00770245   |   02:21:12   |   07:27:08   |
13000       |       -1526.24   |        -1530.9   |        4.65444   |     0.00396813      |  0.00396813   |   02:32:59   |   07:15:24   |
14000       |       -1545.54   |       -1550.18   |        4.63901   |     0.00730832      |  0.00730832   |   02:44:45   |   07:03:38   |
15000       |       -1529.94   |       -1534.57   |        4.63185   |      0.0110405      |   0.0110405   |   02:56:28   |   06:51:45   |
16000       |       -1638.66   |       -1643.02   |        4.36369   |     0.00771337      |  0.00771337   |   03:08:13   |   06:39:57   |
17000       |       -1488.49   |       -1493.17   |        4.67675   |     0.00903171      |  0.00903171   |   03:19:59   |   06:28:12   |
18000       |       -1543.41   |        -1548.1   |        4.68086   |      0.0099738      |   0.0099738   |   03:31:45   |   06:16:26   |
19000       |       -1462.57   |       -1467.02   |        4.45681   |     0.00760919      |  0.00760919   |   03:43:30   |   06:04:39   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
20000       |       -1567.06   |       -1571.69   |        4.63102   |     0.00596744      |  0.00596744   |   03:55:11   |   05:52:46   |
21000       |       -1538.73   |       -1543.29   |        4.56451   |     0.00676181      |  0.00676181   |   04:06:55   |   05:40:58   |
22000       |       -1561.86   |       -1566.54   |         4.6803   |     0.00944204      |  0.00944204   |   04:18:39   |   05:29:11   |
23000       |       -1553.14   |       -1557.73   |        4.59827   |     0.00775357      |  0.00775357   |   04:30:26   |   05:17:27   |
24000       |       -1552.68   |       -1557.32   |         4.6404   |     0.00972152      |  0.00972152   |   04:42:10   |   05:05:40   |
25000       |       -1553.29   |       -1557.87   |        4.58068   |     0.00719804      |  0.00719804   |   04:53:49   |   04:53:49   |
26000       |        -1515.1   |       -1519.78   |         4.6798   |      0.0065808      |   0.0065808   |   05:05:36   |   04:42:05   |
27000       |       -1586.76   |       -1591.16   |        4.40352   |      0.0105325      |   0.0105325   |   05:17:22   |   04:30:20   |
28000       |        -1510.1   |       -1514.76   |        4.65458   |      0.0073062      |   0.0073062   |   05:29:08   |   04:18:36   |
29000       |       -1533.96   |        -1538.6   |        4.63888   |     0.00905215      |  0.00905215   |   05:40:53   |   04:06:50   |
30000       |       -1525.03   |       -1529.67   |         4.6413   |      0.0120643      |   0.0120643   |   05:52:41   |   03:55:07   |
31000       |       -1457.76   |       -1462.42   |        4.66151   |      0.0131906      |   0.0131906   |   06:04:23   |   03:43:19   |
32000       |       -1510.29   |       -1514.96   |        4.67115   |     0.00682994      |  0.00682994   |   06:15:44   |   03:31:21   |
33000       |       -1637.65   |       -1642.01   |        4.36204   |       0.013571      |    0.013571   |   06:27:04   |   03:19:23   |
34000       |       -1526.09   |       -1530.65   |        4.55824   |      0.0103122      |   0.0103122   |   06:38:24   |   03:07:28   |
35000       |       -1530.88   |       -1535.55   |        4.66602   |     0.00817157      |  0.00817157   |   06:49:40   |   02:55:34   |
36000       |       -1491.85   |       -1496.42   |        4.57752   |     0.00787815      |  0.00787815   |   07:00:53   |   02:43:40   |
37000       |       -1501.12   |        -1505.8   |        4.68252   |     0.00787803      |  0.00787803   |   07:12:00   |   02:31:47   |
38000       |        -1551.3   |       -1555.95   |        4.64406   |     0.00749936      |  0.00749936   |   07:23:07   |   02:19:55   |
39000       |       -1525.96   |       -1530.56   |        4.59712   |     0.00829923      |  0.00829923   |   07:34:14   |   02:08:07   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
40000       |       -1515.48   |       -1520.13   |        4.64709   |     0.00743166      |  0.00743166   |   07:45:21   |   01:56:20   |
41000       |       -1541.44   |       -1546.03   |        4.59298   |     0.00838932      |  0.00838932   |   07:56:27   |   01:44:35   |
42000       |       -1551.88   |       -1556.56   |        4.68155   |     0.00551418      |  0.00551418   |   08:07:34   |   01:32:52   |
43000       |        -1558.5   |       -1563.08   |        4.57784   |     0.00602007      |  0.00602007   |   08:18:41   |   01:21:10   |
44000       |       -1476.71   |       -1481.39   |        4.68059   |      0.0103449      |   0.0103449   |   08:29:49   |   01:09:31   |
45000       |       -1564.33   |       -1568.99   |        4.65727   |     0.00323784      |  0.00323784   |   08:40:56   |   00:57:52   |
46000       |       -1624.21   |       -1628.82   |        4.60636   |     0.00561818      |  0.00561818   |   08:52:03   |   00:46:15   |
47000       |       -1567.63   |       -1572.18   |        4.55427   |     0.00932608      |  0.00932608   |   09:03:11   |   00:34:40   |
48000       |       -1466.88   |       -1471.49   |        4.61644   |     0.00768586      |  0.00768586   |   09:14:18   |   00:23:05   |
49000       |       -1550.75   |       -1555.41   |        4.65466   |     0.00606818      |  0.00606818   |   09:25:25   |   00:11:32   |
50000       |       -1496.68   |       -1501.23   |        4.54665   |      0.0101774      |   0.0101774   |   09:36:25   |   00:00:00   |
