
RevBayes version (1.2.3)
Build from read_simmap (rapture-2810-g799e73) on Mon Sep  2 12:46:43 CEST 2024
MPI enabled: using 2 processes.

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


>    Processing file "scripts/2_simulation/false_positive/DPP.Rev"
   Attempting to read the contents of file "mammal_diet_perMY_n500.tre"
   Successfully read file
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_3/continuous_sd.nex'
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_3/discrete.nex'
   
   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************

   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |       -1547.44   |       -1552.09   |        4.64913   |       0.010784      |    0.010784   |   00:00:00   |   --:--:--   |
1000        |       -1529.06   |       -1533.72   |        4.66586   |     0.00798943      |  0.00798943   |   00:11:31   |   --:--:--   |
2000        |       -1498.08   |       -1502.76   |        4.68074   |     0.00436394      |  0.00436394   |   00:23:03   |   09:13:12   |
3000        |       -1504.61   |       -1509.28   |        4.67603   |     0.00959537      |  0.00959537   |   00:34:35   |   09:01:48   |
4000        |       -1592.46   |       -1597.12   |        4.66348   |     0.00792274      |  0.00792274   |   00:46:06   |   08:50:09   |
5000        |       -1515.78   |       -1520.41   |        4.63417   |     0.00590165      |  0.00590165   |   00:57:38   |   08:38:42   |
6000        |       -1520.17   |       -1524.74   |        4.56953   |      0.0100748      |   0.0100748   |   01:09:09   |   08:27:06   |
7000        |       -1614.38   |          -1619   |        4.61648   |     0.00405399      |  0.00405399   |   01:20:42   |   08:15:43   |
8000        |       -1495.88   |       -1500.53   |        4.65233   |     0.00602851      |  0.00602851   |   01:32:13   |   08:04:08   |
9000        |       -1467.95   |       -1472.62   |        4.67591   |     0.00656436      |  0.00656436   |   01:43:44   |   07:52:33   |
10000       |       -1536.63   |       -1541.15   |        4.52633   |     0.00734397      |  0.00734397   |   01:55:16   |   07:41:04   |
11000       |       -1514.76   |       -1519.44   |        4.68252   |     0.00592677      |  0.00592677   |   02:06:47   |   07:29:30   |
12000       |       -1559.02   |       -1563.69   |        4.66981   |     0.00347619      |  0.00347619   |   02:18:18   |   07:17:57   |
13000       |       -1575.07   |       -1579.75   |        4.68193   |     0.00544517      |  0.00544517   |   02:29:50   |   07:06:26   |
14000       |       -1540.55   |       -1545.23   |        4.68137   |     0.00347462      |  0.00347462   |   02:41:19   |   06:54:48   |
15000       |       -1604.25   |        -1608.8   |        4.54653   |      0.0122624      |   0.0122624   |   02:52:51   |   06:43:19   |
16000       |       -1528.95   |       -1533.59   |        4.64156   |        0.01048      |     0.01048   |   03:04:22   |   06:31:46   |
17000       |       -1599.93   |       -1604.57   |        4.64357   |     0.00538978      |  0.00538978   |   03:15:52   |   06:20:12   |
18000       |       -1491.91   |       -1496.54   |         4.6365   |     0.00935579      |  0.00935579   |   03:27:24   |   06:08:42   |
19000       |       -1510.89   |       -1515.55   |         4.6531   |     0.00921378      |  0.00921378   |   03:38:55   |   05:57:10   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
20000       |       -1591.37   |       -1595.85   |        4.47869   |     0.00882832      |  0.00882832   |   03:50:24   |   05:45:36   |
21000       |       -1490.69   |       -1495.35   |        4.65939   |     0.00888593      |  0.00888593   |   04:01:56   |   05:34:05   |
22000       |       -1553.27   |       -1557.93   |        4.65155   |      0.0089835      |   0.0089835   |   04:13:29   |   05:22:36   |
23000       |       -1548.56   |       -1553.24   |        4.67336   |     0.00973187      |  0.00973187   |   04:25:01   |   05:11:06   |
24000       |        -1566.6   |       -1571.27   |        4.66544   |     0.00773324      |  0.00773324   |   04:36:33   |   04:59:35   |
25000       |       -1587.63   |       -1592.25   |        4.62002   |     0.00528911      |  0.00528911   |   04:48:05   |   04:48:05   |
26000       |       -1478.08   |       -1482.52   |        4.44677   |     0.00662317      |  0.00662317   |   04:59:37   |   04:36:34   |
27000       |       -1581.04   |       -1585.72   |        4.67151   |     0.00955968      |  0.00955968   |   05:11:08   |   04:25:02   |
28000       |       -1480.95   |       -1485.61   |        4.65388   |      0.0114997      |   0.0114997   |   05:22:40   |   04:13:31   |
29000       |       -1544.92   |       -1549.59   |         4.6639   |     0.00767575      |  0.00767575   |   05:34:12   |   04:02:00   |
30000       |       -1565.14   |       -1569.81   |        4.67144   |     0.00919438      |  0.00919438   |   05:45:44   |   03:50:29   |
31000       |       -1566.91   |       -1571.44   |        4.52764   |     0.00738065      |  0.00738065   |   05:57:17   |   03:38:58   |
32000       |       -1590.45   |       -1595.14   |        4.68249   |      0.0100717      |   0.0100717   |   06:08:41   |   03:27:23   |
33000       |       -1519.63   |       -1524.28   |        4.65012   |      0.0115627      |   0.0115627   |   06:19:51   |   03:15:40   |
34000       |       -1562.66   |       -1567.32   |        4.66363   |     0.00637315      |  0.00637315   |   06:31:00   |   03:04:00   |
35000       |       -1495.82   |       -1500.48   |        4.66327   |      0.0064738      |   0.0064738   |   06:42:06   |   02:52:19   |
36000       |       -1550.04   |       -1554.67   |        4.63693   |     0.00567708      |  0.00567708   |   06:53:07   |   02:40:39   |
37000       |       -1586.52   |       -1591.04   |        4.51175   |     0.00654154      |  0.00654154   |   07:04:03   |   02:28:59   |
38000       |       -1573.08   |       -1577.63   |        4.54966   |      0.0113113      |   0.0113113   |   07:14:55   |   02:17:20   |
39000       |       -1472.55   |       -1477.22   |        4.66434   |     0.00808585      |  0.00808585   |   07:25:45   |   02:05:43   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
40000       |       -1494.75   |       -1499.42   |        4.67526   |     0.00643689      |  0.00643689   |   07:36:37   |   01:54:09   |
41000       |        -1589.8   |       -1594.47   |        4.67938   |     0.00663831      |  0.00663831   |   07:47:29   |   01:42:37   |
42000       |       -1495.46   |       -1500.14   |        4.67805   |     0.00895048      |  0.00895048   |   07:58:22   |   01:31:07   |
43000       |       -1583.67   |       -1588.28   |        4.60788   |     0.00338279      |  0.00338279   |   08:09:13   |   01:19:38   |
44000       |       -1580.62   |       -1585.28   |         4.6615   |     0.00832298      |  0.00832298   |   08:20:04   |   01:08:11   |
45000       |       -1591.52   |       -1596.17   |        4.64831   |      0.0103349      |   0.0103349   |   08:30:55   |   00:56:46   |
46000       |        -1550.4   |       -1555.06   |        4.66453   |     0.00581095      |  0.00581095   |   08:41:47   |   00:45:22   |
47000       |       -1499.51   |       -1504.19   |        4.67956   |     0.00911612      |  0.00911612   |   08:52:39   |   00:33:59   |
48000       |       -1517.65   |       -1522.33   |        4.67823   |     0.00742291      |  0.00742291   |   09:03:30   |   00:22:38   |
49000       |       -1636.92   |       -1641.32   |        4.39785   |      0.0081206      |   0.0081206   |   09:14:23   |   00:11:18   |
50000       |       -1524.98   |       -1529.65   |         4.6754   |     0.00526166      |  0.00526166   |   09:25:15   |   00:00:00   |
