
RevBayes version (1.2.3)
Build from read_simmap (rapture-2810-g799e73) on Mon Sep  2 12:46:43 CEST 2024
MPI enabled: using 2 processes.

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


>    Processing file "scripts/2_simulation/false_positive/DPP.Rev"
   Attempting to read the contents of file "mammal_diet_perMY_n500.tre"
   Successfully read file
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_2/continuous_stateless.nex'
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_2/discrete.nex'
   
   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************

   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |       -1539.61   |       -1544.29   |        4.68196   |     0.00933718      |  0.00933718   |   00:00:00   |   --:--:--   |
1000        |       -1553.31   |       -1557.83   |        4.51972   |     0.00707704      |  0.00707704   |   00:11:32   |   --:--:--   |
2000        |       -1497.09   |       -1501.77   |        4.67945   |     0.00724637      |  0.00724637   |   00:23:01   |   09:12:24   |
3000        |       -1474.21   |       -1478.88   |        4.67472   |     0.00645184      |  0.00645184   |   00:34:32   |   09:01:01   |
4000        |       -1590.75   |       -1595.32   |         4.5731   |     0.00990237      |  0.00990237   |   00:46:01   |   08:49:11   |
5000        |       -1591.81   |       -1596.25   |        4.44374   |     0.00871802      |  0.00871802   |   00:57:30   |   08:37:30   |
6000        |       -1527.25   |       -1531.91   |        4.65474   |     0.00575757      |  0.00575757   |   01:08:59   |   08:25:52   |
7000        |       -1496.37   |       -1501.04   |        4.67561   |      0.0104325      |   0.0104325   |   01:20:28   |   08:14:17   |
8000        |       -1519.58   |       -1524.26   |        4.67794   |      0.0116348      |   0.0116348   |   01:31:57   |   08:02:44   |
9000        |       -1544.64   |       -1549.13   |        4.48807   |      0.0124817      |   0.0124817   |   01:43:27   |   07:51:16   |
10000       |       -1477.55   |       -1482.23   |        4.68082   |     0.00795033      |  0.00795033   |   01:54:56   |   07:39:44   |
11000       |       -1503.12   |       -1507.77   |        4.64444   |     0.00446728      |  0.00446728   |   02:06:25   |   07:28:12   |
12000       |       -1569.54   |       -1574.22   |        4.68249   |     0.00581123      |  0.00581123   |   02:17:56   |   07:16:47   |
13000       |       -1547.56   |       -1552.22   |        4.65594   |      0.0128489      |   0.0128489   |   02:29:27   |   07:05:21   |
14000       |       -1545.05   |        -1549.7   |        4.65829   |      0.0142941      |   0.0142941   |   02:40:55   |   06:53:47   |
15000       |       -1558.64   |       -1563.32   |        4.67572   |      0.0147593      |   0.0147593   |   02:52:24   |   06:42:16   |
16000       |        -1551.4   |       -1556.05   |        4.64465   |      0.0052185      |   0.0052185   |   03:03:53   |   06:30:45   |
17000       |       -1529.56   |       -1534.21   |        4.65687   |     0.00699953      |  0.00699953   |   03:15:22   |   06:19:14   |
18000       |       -1556.72   |       -1561.13   |        4.41104   |     0.00522442      |  0.00522442   |   03:26:51   |   06:07:44   |
19000       |       -1521.02   |       -1525.69   |        4.67483   |     0.00940664      |  0.00940664   |   03:38:21   |   05:56:15   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
20000       |       -1608.84   |       -1613.39   |        4.55389   |      0.0103607      |   0.0103607   |   03:49:50   |   05:44:45   |
21000       |       -1521.25   |       -1525.91   |        4.66437   |      0.0110824      |   0.0110824   |   04:01:19   |   05:33:14   |
22000       |       -1535.02   |       -1539.69   |        4.66408   |     0.00732279      |  0.00732279   |   04:12:49   |   05:21:46   |
23000       |       -1546.45   |       -1551.14   |        4.68251   |     0.00431771      |  0.00431771   |   04:24:19   |   05:10:17   |
24000       |       -1453.66   |        -1458.3   |        4.64638   |     0.00868763      |  0.00868763   |   04:35:49   |   04:58:48   |
25000       |       -1542.27   |       -1546.95   |        4.67801   |     0.00855877      |  0.00855877   |   04:47:20   |   04:47:20   |
26000       |       -1571.75   |       -1576.36   |        4.61528   |     0.00886056      |  0.00886056   |   04:58:50   |   04:35:50   |
27000       |       -1511.85   |        -1516.5   |        4.65388   |     0.00984866      |  0.00984866   |   05:10:20   |   04:24:21   |
28000       |       -1484.75   |       -1489.42   |        4.67349   |     0.00876001      |  0.00876001   |   05:21:51   |   04:12:52   |
29000       |       -1526.74   |       -1531.34   |        4.60168   |      0.0142653      |   0.0142653   |   05:33:19   |   04:01:22   |
30000       |       -1459.69   |       -1464.35   |        4.65319   |     0.00796137      |  0.00796137   |   05:44:48   |   03:49:52   |
31000       |       -1489.19   |       -1493.86   |         4.6748   |     0.00671635      |  0.00671635   |   05:56:18   |   03:38:22   |
32000       |       -1432.68   |       -1437.22   |        4.54542   |     0.00965121      |  0.00965121   |   06:07:47   |   03:26:52   |
33000       |       -1565.65   |       -1570.27   |         4.6234   |      0.0049599      |   0.0049599   |   06:19:10   |   03:15:19   |
34000       |       -1546.81   |       -1551.35   |        4.54057   |     0.00892727      |  0.00892727   |   06:30:30   |   03:03:45   |
35000       |       -1550.11   |       -1554.66   |        4.55015   |      0.0049589      |   0.0049589   |   06:41:46   |   02:52:11   |
36000       |       -1494.74   |       -1499.36   |        4.61915   |      0.0055753      |   0.0055753   |   06:52:58   |   02:40:35   |
37000       |       -1488.26   |       -1492.94   |        4.67919   |     0.00904402      |  0.00904402   |   07:04:17   |   02:29:04   |
38000       |       -1575.61   |       -1580.25   |        4.64265   |      0.0082556      |   0.0082556   |   07:15:34   |   02:17:32   |
39000       |       -1567.87   |       -1572.55   |        4.67726   |      0.0107401      |   0.0107401   |   07:26:52   |   02:06:02   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
40000       |       -1527.19   |       -1531.88   |        4.68109   |     0.00824069      |  0.00824069   |   07:38:09   |   01:54:32   |
41000       |       -1477.84   |       -1482.48   |        4.63311   |      0.0093219      |   0.0093219   |   07:49:25   |   01:43:02   |
42000       |       -1439.62   |       -1444.28   |        4.66404   |     0.00696766      |  0.00696766   |   08:00:43   |   01:31:33   |
43000       |       -1538.33   |       -1542.99   |         4.6654   |      0.0119877      |   0.0119877   |   08:12:01   |   01:20:05   |
44000       |       -1511.47   |       -1516.15   |        4.68047   |      0.0086283      |   0.0086283   |   08:23:18   |   01:08:37   |
45000       |       -1506.16   |       -1510.83   |        4.66697   |     0.00942873      |  0.00942873   |   08:34:37   |   00:57:10   |
46000       |       -1485.51   |       -1490.11   |        4.60547   |      0.0090588      |   0.0090588   |   08:45:57   |   00:45:44   |
47000       |       -1497.38   |       -1502.06   |        4.67399   |       0.012517      |    0.012517   |   08:57:14   |   00:34:17   |
48000       |       -1488.61   |        -1493.3   |        4.68158   |     0.00683055      |  0.00683055   |   09:08:28   |   00:22:51   |
49000       |       -1489.06   |       -1493.71   |         4.6529   |     0.00607071      |  0.00607071   |   09:19:48   |   00:11:25   |
50000       |       -1544.36   |       -1549.02   |        4.65151   |      0.0114428      |   0.0114428   |   09:31:05   |   00:00:00   |
