
RevBayes version (1.2.3)
Build from read_simmap (rapture-2810-g799e73) on Mon Sep  2 12:46:43 CEST 2024
MPI enabled: using 2 processes.

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


>    Processing file "scripts/2_simulation/false_positive/DPP.Rev"
   Attempting to read the contents of file "mammal_diet_perMY_n500.tre"
   Successfully read file
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_1/continuous_stateless.nex'
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_1/discrete.nex'
   
   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************

   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |       -1944.84   |       -1949.49   |        4.64748   |     0.00779127      |  0.00805109   |   00:00:00   |   --:--:--   |
1000        |       -1819.56   |       -1824.24   |        4.68074   |      0.0113725      |   0.0159727   |   00:11:47   |   --:--:--   |
2000        |       -1826.85   |       -1831.52   |        4.67307   |      0.0123904      |   0.0147154   |   00:23:27   |   09:22:48   |
3000        |       -1826.18   |       -1830.85   |         4.6663   |      0.0132045      |   0.0138914   |   00:35:09   |   09:10:41   |
4000        |       -1804.26   |       -1808.83   |        4.56994   |     0.00890105      |  0.00993638   |   00:46:49   |   08:58:23   |
5000        |       -1834.94   |       -1839.63   |        4.68237   |     0.00925886      |   0.0131647   |   00:58:29   |   08:46:21   |
6000        |       -1854.36   |       -1858.98   |        4.62071   |      0.0072227      |  0.00884697   |   01:10:14   |   08:35:02   |
7000        |       -1853.08   |       -1857.75   |        4.67506   |     0.00803196      |    0.010346   |   01:22:03   |   08:24:01   |
8000        |       -1843.43   |       -1848.03   |        4.59701   |     0.00944511      |  0.00870344   |   01:33:50   |   08:12:37   |
9000        |        -1883.4   |       -1887.77   |        4.37571   |       0.013915      |   0.0149999   |   01:45:31   |   08:00:41   |
10000       |          -1837   |       -1841.59   |         4.5856   |     0.00705813      |  0.00803595   |   01:57:11   |   07:48:44   |
11000       |       -1894.36   |       -1898.94   |        4.57777   |     0.00876569      |  0.00902444   |   02:08:57   |   07:37:11   |
12000       |       -1839.29   |       -1843.94   |         4.6555   |      0.0114922      |   0.0123483   |   02:20:45   |   07:25:42   |
13000       |       -1869.12   |        -1873.8   |        4.67241   |       0.010856      |   0.0114449   |   02:32:32   |   07:14:08   |
14000       |       -1856.93   |        -1861.6   |         4.6694   |     0.00730187      |   0.0084814   |   02:44:19   |   07:02:31   |
15000       |       -1912.59   |       -1917.22   |        4.62944   |     0.00968869      |  0.00915702   |   02:55:55   |   06:50:28   |
16000       |       -1898.57   |       -1903.15   |        4.57444   |      0.0105967      |   0.0151739   |   03:07:42   |   06:38:51   |
17000       |       -1891.25   |       -1895.89   |        4.63992   |     0.00803899      |  0.00924352   |   03:19:27   |   06:27:10   |
18000       |       -1871.24   |       -1875.84   |        4.59358   |     0.00616829      |  0.00627414   |   03:31:07   |   06:15:19   |
19000       |       -1930.84   |       -1935.47   |        4.63524   |      0.0141406      |   0.0145596   |   03:42:55   |   06:03:42   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
20000       |       -1906.75   |       -1911.22   |          4.471   |      0.0106966      |   0.0156047   |   03:54:43   |   05:52:04   |
21000       |       -1832.45   |       -1837.11   |        4.66034   |      0.0103216      |   0.0104618   |   04:06:28   |   05:40:21   |
22000       |       -1963.76   |        -1967.8   |        4.03785   |     0.00826604      |  0.00893539   |   04:18:18   |   05:28:44   |
23000       |       -1794.07   |       -1798.63   |        4.56536   |     0.00969992      |   0.0115704   |   04:30:03   |   05:17:00   |
24000       |       -1894.98   |       -1899.57   |        4.58863   |      0.0117022      |   0.0172533   |   04:41:45   |   05:05:13   |
25000       |       -1878.12   |       -1882.74   |        4.61596   |     0.00641282      |  0.00803681   |   04:53:34   |   04:53:34   |
26000       |       -1875.42   |        -1880.1   |        4.67979   |     0.00660721      |   0.0066666   |   05:05:17   |   04:41:48   |
27000       |       -1826.91   |       -1831.59   |        4.68169   |      0.0133304      |   0.0102436   |   05:16:54   |   04:29:57   |
28000       |       -1872.94   |       -1877.53   |        4.58278   |      0.0121855      |   0.0107102   |   05:28:27   |   04:18:04   |
29000       |       -1877.33   |       -1881.95   |        4.61633   |      0.0120467      |   0.0127571   |   05:40:00   |   04:06:12   |
30000       |       -1879.57   |       -1884.17   |        4.59178   |     0.00788514      |  0.00928108   |   05:51:06   |   03:54:04   |
31000       |       -1893.18   |       -1897.74   |        4.55464   |       0.010139      |   0.0112742   |   06:02:14   |   03:42:00   |
32000       |          -1839   |       -1843.66   |        4.66763   |     0.00943839      |   0.0102828   |   06:13:22   |   03:30:01   |
33000       |       -1819.18   |       -1823.85   |        4.66905   |      0.0140062      |   0.0150166   |   06:24:30   |   03:18:04   |
34000       |       -1923.65   |       -1928.05   |        4.40577   |      0.0126005      |   0.0126721   |   06:35:38   |   03:06:10   |
35000       |       -1903.65   |        -1908.3   |        4.65273   |     0.00996544      |  0.00914128   |   06:46:41   |   02:54:17   |
36000       |       -1861.72   |       -1866.28   |        4.56624   |      0.0107084      |   0.0122788   |   06:57:41   |   02:42:25   |
37000       |       -1864.13   |       -1868.53   |        4.40258   |     0.00975477      |   0.0108769   |   07:08:35   |   02:30:35   |
38000       |       -1855.19   |       -1859.86   |        4.67326   |       0.012373      |   0.0144797   |   07:19:29   |   02:18:47   |
39000       |        -1852.5   |       -1857.17   |        4.66697   |      0.0123535      |   0.0114737   |   07:30:22   |   02:07:01   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
40000       |       -1849.63   |       -1854.29   |        4.66261   |     0.00524455      |  0.00532906   |   07:41:14   |   01:55:18   |
41000       |       -1903.41   |       -1908.06   |        4.65127   |     0.00838691      |  0.00824092   |   07:52:07   |   01:43:38   |
42000       |       -1839.81   |       -1844.48   |        4.66837   |      0.0143712      |   0.0159735   |   08:03:00   |   01:32:00   |
43000       |       -1853.91   |       -1858.54   |        4.62744   |      0.0106484      |   0.0115863   |   08:13:54   |   01:20:24   |
44000       |       -1866.18   |       -1870.78   |        4.59657   |      0.0129019      |   0.0111305   |   08:24:45   |   01:08:49   |
45000       |       -1801.37   |       -1805.73   |        4.35897   |     0.00824561      |  0.00720617   |   08:35:38   |   00:57:17   |
46000       |       -1844.66   |        -1849.3   |        4.64824   |     0.00996859      |  0.00820769   |   08:46:30   |   00:45:46   |
47000       |       -1852.09   |       -1856.66   |         4.5714   |      0.0132353      |   0.0136414   |   08:57:23   |   00:34:18   |
48000       |       -1826.02   |        -1830.7   |        4.68013   |     0.00892344      |   0.0137443   |   09:08:16   |   00:22:50   |
49000       |       -1809.66   |       -1814.25   |        4.59229   |     0.00832958      |  0.00829082   |   09:19:09   |   00:11:24   |
50000       |        -1906.6   |       -1911.05   |        4.44842   |     0.00968181      |   0.0137551   |   09:30:01   |   00:00:00   |
