
RevBayes version (1.2.3)
Build from read_simmap (rapture-2810-g799e73) on Mon Sep  2 12:46:43 CEST 2024
MPI enabled: using 2 processes.

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


>    Processing file "scripts/2_simulation/false_positive/DPP.Rev"
   Attempting to read the contents of file "mammal_diet_perMY_n500.tre"
   Successfully read file
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_2/continuous_sd.nex'
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_2/discrete.nex'
   
   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************

   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |       -1833.18   |       -1837.85   |        4.66923   |       0.052723      |    0.052723   |   00:00:00   |   --:--:--   |
1000        |       -1803.96   |        -1808.6   |        4.64891   |      0.0465128      |   0.0465128   |   00:11:36   |   --:--:--   |
2000        |        -1890.4   |       -1894.99   |        4.59135   |      0.0544798      |   0.0544798   |   00:23:12   |   09:16:48   |
3000        |       -1910.42   |       -1915.04   |        4.62705   |      0.0473605      |   0.0473605   |   00:34:48   |   09:05:12   |
4000        |       -1856.99   |       -1861.64   |        4.64944   |      0.0470479      |   0.0470479   |   00:46:25   |   08:53:47   |
5000        |       -1821.37   |       -1826.04   |        4.67677   |      0.0535553      |   0.0535553   |   00:58:01   |   08:42:09   |
6000        |       -1825.11   |       -1829.72   |        4.61793   |      0.0564619      |   0.0564619   |   01:09:36   |   08:30:24   |
7000        |       -1848.36   |       -1853.04   |        4.67954   |        0.05444      |     0.05444   |   01:21:13   |   08:18:54   |
8000        |       -1798.35   |       -1803.03   |         4.6818   |      0.0516325      |   0.0516325   |   01:32:49   |   08:07:17   |
9000        |       -1846.36   |       -1851.02   |        4.65166   |      0.0563253      |   0.0563253   |   01:44:24   |   07:55:36   |
10000       |       -1848.34   |       -1853.02   |        4.67871   |      0.0541339      |   0.0541339   |   01:56:00   |   07:44:00   |
11000       |       -1824.51   |       -1829.18   |         4.6705   |      0.0523073      |   0.0523073   |   02:07:35   |   07:32:20   |
12000       |       -1810.78   |       -1815.45   |        4.66172   |      0.0549372      |   0.0549372   |   02:19:11   |   07:20:44   |
13000       |       -1846.68   |       -1851.34   |        4.66186   |      0.0505399      |   0.0505399   |   02:30:47   |   07:09:09   |
14000       |       -1857.69   |       -1862.36   |        4.67169   |      0.0502409      |   0.0502409   |   02:42:22   |   06:57:30   |
15000       |       -1832.19   |       -1836.86   |         4.6679   |      0.0500186      |   0.0500186   |   02:53:57   |   06:45:53   |
16000       |       -1827.41   |       -1832.09   |        4.67146   |      0.0540192      |   0.0540192   |   03:05:32   |   06:34:15   |
17000       |       -1851.75   |       -1856.42   |          4.679   |      0.0455468      |   0.0455468   |   03:17:08   |   06:22:40   |
18000       |       -1843.41   |       -1848.07   |        4.66147   |      0.0423646      |   0.0423646   |   03:28:44   |   06:11:04   |
19000       |       -1812.95   |       -1817.56   |        4.61602   |       0.050666      |    0.050666   |   03:40:20   |   05:59:29   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
20000       |       -1815.58   |       -1820.26   |        4.67731   |      0.0428836      |   0.0428836   |   03:51:56   |   05:47:54   |
21000       |       -1911.02   |       -1915.59   |        4.56604   |      0.0437273      |   0.0437273   |   04:03:33   |   05:36:19   |
22000       |       -1851.81   |       -1856.36   |        4.55387   |      0.0550246      |   0.0550246   |   04:15:09   |   05:24:44   |
23000       |       -1837.92   |        -1842.6   |        4.67149   |      0.0489383      |   0.0489383   |   04:26:46   |   05:13:09   |
24000       |       -1869.47   |       -1874.11   |        4.63734   |       0.049104      |    0.049104   |   04:38:22   |   05:01:33   |
25000       |       -1864.73   |       -1869.13   |        4.39989   |      0.0501278      |   0.0501278   |   04:49:59   |   04:49:59   |
26000       |       -1891.21   |        -1895.8   |        4.59531   |       0.053714      |    0.053714   |   05:01:35   |   04:38:23   |
27000       |       -1788.94   |       -1793.54   |        4.60298   |      0.0536805      |   0.0536805   |   05:13:10   |   04:26:46   |
28000       |       -1926.24   |       -1930.75   |        4.51371   |      0.0675459      |   0.0675459   |   05:24:47   |   04:15:11   |
29000       |       -1899.72   |       -1904.24   |        4.52501   |      0.0553128      |   0.0553128   |   05:36:23   |   04:03:35   |
30000       |        -1813.6   |       -1818.29   |        4.68113   |      0.0588097      |   0.0588097   |   05:47:58   |   03:51:58   |
31000       |       -1914.91   |       -1919.57   |          4.665   |      0.0618973      |   0.0618973   |   05:59:32   |   03:40:21   |
32000       |       -1899.88   |       -1904.45   |        4.57985   |      0.0530599      |   0.0530599   |   06:10:48   |   03:28:34   |
33000       |          -1864   |       -1868.56   |         4.5579   |      0.0443156      |   0.0443156   |   06:22:04   |   03:16:49   |
34000       |       -1899.44   |       -1904.08   |        4.63908   |      0.0559903      |   0.0559903   |   06:33:20   |   03:05:05   |
35000       |       -1864.11   |       -1868.77   |        4.66403   |      0.0555189      |   0.0555189   |   06:44:32   |   02:53:22   |
36000       |       -1842.13   |       -1846.78   |        4.65057   |      0.0372509      |   0.0372509   |   06:55:40   |   02:41:38   |
