
RevBayes version (1.2.3)
Build from read_simmap (rapture-2810-g799e73) on Mon Sep  2 12:46:43 CEST 2024
MPI enabled: using 2 processes.

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


>    Processing file "scripts/2_simulation/false_positive/DPP.Rev"
   Attempting to read the contents of file "mammal_diet_perMY_n500.tre"
   Successfully read file
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_2/continuous_stateless.nex'
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_2/discrete.nex'
   
   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************

   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |       -1505.24   |       -1509.88   |        4.64025   |      0.0118948      |   0.0118948   |   00:00:00   |   --:--:--   |
1000        |       -1556.05   |       -1560.46   |         4.4168   |      0.0136015      |   0.0136015   |   00:11:28   |   --:--:--   |
2000        |        -1472.4   |       -1477.08   |        4.68239   |      0.0110011      |   0.0110011   |   00:22:56   |   09:10:24   |
3000        |       -1549.49   |       -1554.04   |        4.55411   |      0.0107339      |   0.0107339   |   00:34:25   |   08:59:11   |
4000        |       -1554.01   |       -1558.69   |        4.67693   |       0.010653      |    0.010653   |   00:45:52   |   08:47:28   |
5000        |       -1458.37   |       -1463.01   |        4.63942   |     0.00679669      |  0.00679669   |   00:57:18   |   08:35:42   |
6000        |       -1503.28   |       -1507.96   |        4.67977   |     0.00678515      |  0.00678515   |   01:08:46   |   08:24:17   |
7000        |       -1553.27   |       -1557.95   |        4.67585   |      0.0125208      |   0.0125208   |   01:20:15   |   08:12:57   |
8000        |       -1594.95   |       -1599.35   |        4.40113   |     0.00830191      |  0.00830191   |   01:31:44   |   08:01:36   |
9000        |       -1631.04   |       -1635.55   |        4.51034   |     0.00772304      |  0.00772304   |   01:43:11   |   07:50:03   |
10000       |       -1511.08   |       -1515.72   |         4.6422   |      0.0162935      |   0.0162935   |   01:54:38   |   07:38:32   |
11000       |       -1491.66   |       -1496.33   |        4.67195   |      0.0108912      |   0.0108912   |   02:06:04   |   07:26:57   |
