
RevBayes version (1.2.3)
Build from read_simmap (rapture-2810-g799e73) on Mon Sep  2 12:46:43 CEST 2024
MPI enabled: using 2 processes.

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


>    Processing file "scripts/2_simulation/false_positive/DPP.Rev"
   Attempting to read the contents of file "mammal_diet_perMY_n500.tre"
   Successfully read file
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_2/continuous_sd.nex'
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_2/discrete.nex'
   
   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************

   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |       -1888.44   |        -1893.1   |         4.6636   |      0.0982589      |   0.0169368   |   00:00:00   |   --:--:--   |
1000        |       -1897.99   |       -1902.67   |         4.6796   |      0.0975798      |   0.0102963   |   00:11:55   |   --:--:--   |
2000        |       -1871.17   |       -1875.82   |        4.64473   |      0.0728661      |   0.0111283   |   00:23:50   |   09:32:00   |
3000        |       -1959.25   |       -1963.67   |        4.41728   |      0.0867578      |   0.0117561   |   00:35:45   |   09:20:05   |
4000        |          -1890   |       -1894.67   |        4.67148   |      0.0671373      |   0.0116588   |   00:47:39   |   09:07:58   |
5000        |       -1856.45   |       -1861.13   |        4.67605   |      0.0627414      |   0.0133737   |   00:59:33   |   08:55:57   |
6000        |       -1860.72   |       -1865.39   |        4.67464   |      0.0890623      |   0.0112835   |   01:11:27   |   08:43:58   |
7000        |       -1881.03   |       -1885.71   |        4.68095   |      0.0690061      |   0.0113225   |   01:23:21   |   08:32:00   |
8000        |       -1855.21   |       -1859.89   |        4.68098   |      0.0893698      |   0.0130927   |   01:35:16   |   08:20:09   |
9000        |        -1900.6   |       -1905.21   |        4.60662   |       0.085527      |   0.0108469   |   01:47:11   |   08:08:16   |
10000       |       -1895.18   |       -1899.83   |        4.65467   |       0.104816      |   0.0146794   |   01:59:06   |   07:56:24   |
11000       |       -1951.77   |       -1956.38   |        4.60425   |       0.066111      |   0.0126851   |   02:11:00   |   07:44:27   |
12000       |       -1847.07   |       -1851.62   |        4.54189   |      0.0948504      |   0.0137906   |   02:22:54   |   07:32:31   |
13000       |          -1835   |       -1839.66   |        4.65602   |       0.104223      |   0.0129263   |   02:34:49   |   07:20:37   |
14000       |       -1869.13   |       -1873.81   |        4.67967   |       0.107169      |   0.0159653   |   02:46:42   |   07:08:39   |
15000       |       -1911.86   |       -1916.54   |        4.68145   |      0.0682943      |   0.0106524   |   02:58:36   |   06:56:44   |
16000       |       -1872.33   |       -1876.97   |        4.63954   |       0.100144      |   0.0122104   |   03:10:30   |   06:44:48   |
17000       |       -1932.03   |        -1936.7   |        4.67649   |      0.0511913      |   0.0148795   |   03:22:24   |   06:32:53   |
18000       |       -1907.12   |       -1911.73   |        4.60462   |       0.108123      |   0.0126899   |   03:34:18   |   06:20:58   |
19000       |       -1899.47   |       -1904.15   |        4.67999   |      0.0569193      |   0.0139729   |   03:46:12   |   06:09:03   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
20000       |       -1931.61   |       -1936.22   |        4.60909   |      0.0598861      |   0.0104951   |   03:58:06   |   05:57:09   |
21000       |       -1901.21   |       -1905.78   |        4.56785   |       0.089409      |   0.0119797   |   04:10:01   |   05:45:15   |
22000       |       -1845.44   |       -1850.06   |         4.6237   |      0.0828247      |   0.0124318   |   04:21:56   |   05:33:22   |
23000       |       -1898.66   |       -1903.31   |        4.65195   |      0.0942778      |   0.0130801   |   04:33:51   |   05:21:28   |
24000       |       -1911.47   |       -1916.07   |        4.59813   |       0.086807      |   0.0130933   |   04:45:46   |   05:09:34   |
25000       |       -1827.42   |       -1832.08   |        4.66137   |      0.0872564      |   0.0146759   |   04:57:40   |   04:57:40   |
26000       |       -1913.88   |       -1918.42   |        4.54148   |      0.0772226      |   0.0141534   |   05:09:34   |   04:45:45   |
27000       |       -1884.23   |       -1888.79   |         4.5572   |       0.134724      |   0.0140857   |   05:21:27   |   04:33:49   |
28000       |       -1853.22   |       -1857.87   |        4.64407   |       0.111889      |   0.0144484   |   05:33:21   |   04:21:55   |
29000       |       -1891.76   |       -1896.44   |         4.6824   |      0.0710525      |   0.0115056   |   05:45:15   |   04:10:00   |
30000       |       -1915.63   |       -1920.32   |        4.68252   |      0.0547071      |   0.0134066   |   05:56:48   |   03:57:52   |
31000       |       -1956.72   |       -1961.34   |        4.61858   |      0.0912612      |   0.0129248   |   06:08:06   |   03:45:36   |
32000       |       -1874.17   |       -1878.84   |        4.66678   |      0.0723394      |   0.0108285   |   06:19:25   |   03:33:25   |
33000       |       -1847.84   |       -1852.52   |        4.68237   |       0.070824      |   0.0126267   |   06:30:45   |   03:21:17   |
34000       |       -1836.43   |       -1841.09   |        4.66323   |      0.0810796      |    0.012622   |   06:42:01   |   03:09:11   |
35000       |       -1956.45   |       -1960.95   |        4.50198   |      0.0876808      |   0.0114884   |   06:53:08   |   02:57:03   |
36000       |       -1878.63   |       -1883.18   |        4.55506   |       0.111053      |   0.0139298   |   07:04:12   |   02:44:58   |
37000       |        -1890.3   |       -1894.98   |        4.68027   |      0.0990615      |   0.0131923   |   07:15:10   |   02:32:53   |
38000       |       -1890.65   |       -1895.29   |        4.64517   |      0.0679056      |  0.00970881   |   07:26:09   |   02:20:53   |
39000       |       -1920.45   |       -1924.87   |        4.42503   |      0.0652007      |  0.00912345   |   07:37:11   |   02:08:56   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
40000       |       -1892.91   |       -1897.57   |        4.65385   |       0.101838      |    0.014205   |   07:48:09   |   01:57:02   |
41000       |       -1811.85   |       -1816.53   |        4.67679   |       0.124409      |   0.0131627   |   07:59:06   |   01:45:10   |
42000       |       -1843.77   |       -1848.45   |        4.68252   |      0.0666289      |   0.0127891   |   08:10:07   |   01:33:21   |
43000       |       -1880.43   |       -1885.11   |        4.67359   |      0.0983392      |   0.0133932   |   08:21:06   |   01:21:34   |
44000       |       -1857.96   |       -1862.64   |          4.681   |      0.0736368      |   0.0117291   |   08:32:04   |   01:09:49   |
45000       |        -1873.3   |       -1877.98   |        4.67954   |      0.0717075      |   0.0115177   |   08:43:03   |   00:58:07   |
46000       |       -1874.91   |       -1879.58   |        4.66931   |      0.0685914      |   0.0114929   |   08:54:02   |   00:46:26   |
47000       |       -1856.96   |       -1861.64   |        4.67367   |      0.0837591      |   0.0101913   |   09:05:00   |   00:34:47   |
48000       |       -1883.95   |       -1888.63   |         4.6806   |      0.0674306      |   0.0112017   |   09:15:58   |   00:23:09   |
49000       |       -1952.96   |       -1957.55   |        4.59032   |      0.0722244      |   0.0141035   |   09:26:56   |   00:11:34   |
50000       |       -1820.66   |       -1825.34   |         4.6793   |      0.0943707      |   0.0137512   |   09:37:41   |   00:00:00   |
