Species,Flapper,Migrant,meanHUratio
Onychognathus_nabouroup,1,0,0.8562202758329428
Sula_sula,1,0,0.8893224418276298
Locustella_luscinioides,1,1,0.9446158586876665
Taraba_major,1,0,0.9329307418540554
Thinocorus_rumicivorus,1,1,0.9448293248321424
Phaenicophilus_palmarum,1,0,0.8218407734719183
Tangara_cyanicollis,1,0,0.8216596101815516
Thraupis_episcopus,1,0,0.8163080357486989
Threskiornis_aethiopicus,1,0,0.8701007382809947
Alcippe_morrisonia,1,0,0.8629915201302181
Crypturellus_soui,1,0,0.9695741800366698
Eudromia_elegans,1,0,0.9260670349735713
Amazilia_tzacatl,1,0,0.9041699497780333
Chlorostilbon_ricordii,1,0,0.754741161047852
Eulampis_jugularis,1,0,0.7779187985413737
Glaucis_hirsutus,1,0,0.8887040463606508
Thryothorus_ludovicianus,1,0,0.922058700908076
Pharomachrus_mocinno,1,0,0.8669219673222689
Trogon_viridis,1,0,0.8564081358632416
Catharus_guttatus,1,1,0.7968985288466147
Catharus_minimus,1,1,0.7790053106702379
Catharus_ustulatus,1,1,0.8306862282469688
Chaetops_frenatus,1,0,0.9889370701912958
Hylocichla_mustelina,1,1,0.7902359118312132
Myadestes_townsendi,1,1,0.7527583070598599
Sialia_currucoides,1,1,0.7484619142104298
Sialia_sialis,1,1,0.727864073819875
Turdus_falcklandii,1,0,0.8403383629454498
Turdus_philomelos,1,1,0.843442894777296
Turdus_pilaris,1,1,0.784156951397124
Turdus_viscivorus,1,1,0.8009894778765035
Turnix_suscitator,1,0,1.0656161080570556
Attila_spadiceus,1,0,0.7955656858964433
Camptostoma_obsoletum,1,0,0.8175127632825329
Tyrannus_melancholicus,1,1,0.7330189897940705
Upupa_epops,1,1,0.7378606129961246
Zosterops_senegalensis,1,0,0.8705142638893814
