Species,r (µm),2d (µm),(r + d)/r,N,P1_P8,r (µm),2d (µm),(r + d)/r,N
Streptopelia decaocto,21.5,279,7.5,2,p1,,,,
Strix aluco,34,298,5.4,1,p1,,,,
Strix uralensis,59,286,3.4,2,p1,,,,
Sturnus vulgaris,16.5,275,9.3,2,p1,,,,
Sylvia atricapilla,15,213.3,8.1,3,p1,,,,
Sylvia borin,17.5,221,7.3,2,p1,,,,
Sylvia communis,16,210.4,7.6,2,p1,,,,
Sylvia curruca,14.5,214,8.4,2,p1,,,,
Sylvia nisoria,17,248,8.3,1,p1,,,,
Tachymarptis melba,,,,,p1,,,,
Tetrastes bonasia,26,298,6.7,1,p1,,,,
Tringa glareola,20,234,6.8,1,p1,,,,
Troglodytes troglodytes,11,190.7,9.7,3,p1,,,,
Turdus merula,16.5,269,9.2,2,p1,,,,
Turdus philomelos,20.5,231,6.6,2,p1,,,,
Turdus pilaris,15,269,10,2,p1,,,,
Turdus viscivorus,16,286,9.9,1,p1,,,,
Tyto alba,27.5,250,5.5,2,p1,,,,
Upupa epops,24,340,8.1,2,p1,,,,
Accipiter gentilis,,,,,p8,,,,
Accipiter nisus,,,,,p8,,,,
Acrocephalus arundinaceus,,,,,p8,,,,
Acrocephalus palustris,,,,,p8,,,,
Acrocephalus schoenobaenus,,,,,p8,,,,
Acrocephalus scirpaceus,,,,,p8,,,,
Aegithalos caudatus,12.5,201,9,2,p8,,,,
Alauda arvensis,,,,,p8,,,,
Alcedo atthis,15,203,7.8,2,p8,,,,
Anas crecca,,,,,p8,,,,
Anas platyrhynchos,,,,,p8,,,,
Anas querquedula,,,,,p8,,,,
Anser albifrons,,,,,p8,,,,
Anthus campestris,,,,,p8,,,,
Anthus spinoletta,17,230,7.8,1,p8,,,,
Anthus trivialis,15,218,8.3,1,p8,,,,
Aquila chrysaetos,,,,,p8,,,,
Ardea cinerea,17.5,340,10.7,2,p8,,,,
Asio flammeus,28.5,257.8,5.5,2,p8,,,,
Asio otus,27,192,4.6,1,p8,,,,
Athene noctua,34.5,213,4.1,2,p8,,,,
Aythya ferina,,,,,p8,,,,
Aythya fuligula,,,,,p8,,,,
Bombycilla garrulus,12.5,248,10.9,2,p8,,,,
Botaurus stellaris,,,,,p8,,,,
Branta ruficollis,,,,,p8,,,,
