"","order","family","genus","species","iucn2020_binomial","phylacine_binomial","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","binomial_name","log_body_mass","picky","herbivore","carnivore","picky_herb","picky_carn"
"1","Rodentia","Abrocomidae","Abrocoma","bennettii","Abrocoma bennettii","Abrocoma bennettii",265.5,4.219,250,NA,851.667,NA,244.685,NA,317.485,98.875,NA,3,2,115.543,NA,40.988,NA,1009.175,0.511,102.5,0,2,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,"G",1,0,0,1,0,4000,0,4000,0,"Occurs on mainland",0,0,"Neotropical",2,"abrocoma_bennettii",-1.32614043830014,1,1,0,3,1
"2","Rodentia","Abrocomidae","Abrocoma","cinerea","Abrocoma cinerea","Abrocoma cinerea",221.82,3.239,201,NA,395.417,NA,251.621,NA,330.572,112.269,NA,1.995,1.923,119.793,12.755,39.992,NA,1053.426,0.463,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,"G",1,0,0,1,0,5000,3700,1300,0,"Occurs on mainland",1,0,"Neotropical",2,"abrocoma_cinerea",-1.50588903680554,1,1,0,3,1
"3","Rodentia","Cricetidae","Abrothrix","andinus","Abrothrix andinus","Abrothrix andinus",34.65,0.912,140,NA,914.808,NA,72.928,NA,102.141,23.79,NA,4.171,3.537,27.552,NA,23.08,NA,423.309,0.167,NA,0,1,NA,NA,30,0,70,30,0,0,0,0,0,0,0,0,70,2,2,"G",2,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",2,"abrothrix_andinus",-3.36245755334622,0,0,0,0,0
"4","Rodentia","Cricetidae","Abrothrix","jelskii","Abrothrix jelskii","Abrothrix jelskii",34.5,0.786,140,NA,934.248,NA,63.935,NA,95.981,23.524,NA,4.212,3.573,26.597,NA,21.436,NA,399.834,0.166,NA,0,1,NA,NA,30,0,70,30,0,0,0,0,0,0,0,0,70,2,2,"G",2,0,0,1,0,5000,2200,2800,0,"Occurs on mainland",1,0,"Neotropical",4,"abrothrix_jelskii",-3.36679595494482,0,0,0,0,0
"5","Chiroptera","Pteropodidae","Acerodon","celebensis","Acerodon celebensis","Acerodon celebensis",384.84,5.319,201.25,133.5,4947.861,NA,657.867,NA,801.61,157.206,NA,0.98,1.32,314.015,NA,145.912,NA,2390.332,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1500,0,1500,1,"Occurs only on isolated islands",1,0,"Australasian",2,"acerodon_celebensis",-0.954927615489073,1,1,0,3,1
"6","Chiroptera","Pteropodidae","Acerodon","jubatus","Acerodon jubatus","Acerodon jubatus",1087.04,9.649,288.202,188.04,7320.342,NA,699.123,NA,866.685,166.645,NA,1,1,369.707,NA,146.257,NA,3650,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1100,0,1100,1,"Occurs only on isolated islands",0,0,"Indomalayan",1,"acerodon_jubatus",0.083458405990082,1,1,0,3,1
"7","Carnivora","Felidae","Acinonyx","jubatus","Acinonyx jubatus","Acinonyx jubatus",50577.92,115.012,1490.215,NA,7482.5,741.97,598.985,456,1217.27,90.12,12,3.04,0.7,541.879,465.33,107,1940,2190,44.448,0.021,0,1,88.27,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3,"G",3,0,0,1,0,4000,0,4000,NA,"Occurs on mainland",NA,NA,"Afrotropical, Palearctic",4,"acinonyx_jubatus",3.92351511742274,1,0,1,1,3
"8","Rodentia","Muridae","Acomys","cahirinus","Acomys cahirinus","Acomys cahirinus",45.2,0.76,175,NA,2731.417,51.9,58,59,103,38,NA,2.47,3.5,33.977,5.49,14,12.58,650.013,0.193,1900,0,1,0.001,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,2,"G",2,0,0,1,0,NA,NA,NA,NA,"Occurs on mainland",NA,NA,"Afrotropical, Palearctic",3,"acomys_cahirinus",-3.09665819214395,0,0,0,0,0
"9","Rodentia","Muridae","Acomys","cilicicus","Acomys cilicicus","Acomys cilicicus",48,1.065,175,NA,1460,NA,78.485,NA,110.544,33.712,NA,2.632,3.297,42.005,NA,21.053,NA,618.22,0.2,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,2,"G",2,0,0,1,0,NA,NA,NA,NA,"Occurs on mainland",NA,NA,"Palearctic",2,"acomys_cilicicus",-3.03655426807425,0,0,0,0,0
"10","Rodentia","Muridae","Acomys","ignitus","Acomys ignitus","Acomys ignitus",45.2,1.905,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,697.053,1.425,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,"G",2,0,0,1,0,1000,NA,NA,NA,"Occurs on mainland",NA,NA,"Afrotropical",2,"acomys_ignitus",-3.09665819214395,0,0,0,0,0
"11","Rodentia","Muridae","Acomys","minous","Acomys minous","Acomys minous",45.2,0.988,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,685.623,0.193,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,1,"G",2,0,0,1,0,NA,NA,NA,1,"Occurs only on isolated islands",0,0,"Palearctic",2,"acomys_minous",-3.09665819214395,0,0,0,0,0
"12","Rodentia","Muridae","Acomys","muzei","Acomys muzei","Acomys spinosissimus",27.01,1.594,175,NA,1725.219,NA,96.406,NA,130.695,34.057,NA,2.71,3.271,49.748,NA,24.825,NA,676.973,1.108,331.042,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,"G",2,0,0,1,0,1800,NA,NA,NA,NA,NA,NA,"Afrotropical",2,"acomys_spinosissimus",-3.61154811117761,0,0,0,0,0
"13","Rodentia","Muridae","Acomys","nesiotes","Acomys nesiotes","Acomys nesiotes",45.2,0.984,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,696.73,0.193,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,2,"G",2,0,0,1,0,NA,NA,NA,NA,"Occurs only on isolated islands",NA,NA,"Palearctic",1,"acomys_nesiotes",-3.09665819214395,0,0,0,0,0
"14","Rodentia","Muridae","Acomys","percivali","Acomys percivali","Acomys percivali",21.99,1.922,152.462,NA,1949.349,NA,98.731,NA,129.961,38.654,NA,2.505,3.208,50.708,NA,23.848,NA,700.197,1.001,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,"G",2,0,0,1,0,1000,NA,NA,0,"Occurs on mainland",1,0,"Afrotropical",3,"acomys_percivali",-3.81716747441547,0,0,0,0,0
"15","Rodentia","Muridae","Acomys","russatus","Acomys russatus","Acomys russatus",54.915,1.073,111.08,NA,1825,91.308,91.308,NA,125.701,34.393,5,2.5,3.917,48.325,7,22.204,NA,673.581,1.568,2800,0,1,0,NA,20,40,40,20,0,0,0,40,0,0,0,10,30,3,3,"G",2,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",1,0,"Palearctic",1,"acomys_russatus",-2.90196874374183,0,0,0,0,0
"16","Rodentia","Muridae","Acomys","wilsoni","Acomys wilsoni","Acomys wilsoni",20.96,0.58,127.38,NA,2044,NA,80.114,NA,111.635,38.827,NA,2.29,3.5,43.727,3.49,21.879,10,643.945,0.978,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,"G",2,0,0,1,0,1000,NA,NA,0,"Occurs on mainland",1,0,"Afrotropical",3,"acomys_wilsoni",-3.8651394195293,0,0,0,0,0
"17","Rodentia","Octodontidae","Aconaemys","fuscus","Aconaemys fuscus","Aconaemys fuscus",120.975,2.974,187,NA,1355.962,NA,230.493,NA,311.352,91.382,NA,3.23,2.095,103.756,NA,32.794,NA,842.583,0.332,NA,0,1,NA,NA,0,0,100,0,0,0,0,0,0,40,0,0,60,2,1,"G",1,0,0,1,0,4000,NA,NA,0,"Occurs on mainland",0,1,"Neotropical",2,"aconaemys_fuscus",-2.11217136630275,0,1,0,2,0
"18","Rodentia","Octodontidae","Aconaemys","sagei","Aconaemys sagei","Aconaemys sagei",96.49,2.257,187,NA,1471.152,NA,242.567,NA,317.828,88.109,NA,3.075,2.029,105.035,NA,31.597,NA,842.546,0.293,NA,0,1,NA,NA,0,0,100,0,0,0,0,0,0,40,0,0,60,2,1,"G",3,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,1,"Neotropical",2,"aconaemys_sagei",-2.33831590294984,0,1,0,2,0
"19","Diprotodontia","Acrobatidae","Acrobates","pygmaeus","Acrobates pygmaeus","Acrobates pygmaeus",13,0.874,76.5,NA,3212,272.11,240,365,212.91,31.953,4,3,2,148.398,0.018,99,5.65,997.966,0.097,899.99,0,2,0.006,25,80,0,20,80,0,0,0,0,0,0,10,0,10,1,2,"Ar",1,0,0,1,0,1200,0,1200,0,"Occurs on mainland",0,0,"Australasian",1,"acrobates_pygmaeus",-4.3428059215206,0,0,0,0,0
"20","Cetartiodactyla","Bovidae","Addax","nasomaculatus","Addax nasomaculatus","Addax nasomaculatus",94288.68,201.5,1700,NA,10293,947.495,947.495,NA,1066.86,276,4,1,1,357.255,5600,198,NA,2555,12.92,0,0,1,NA,12.62,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,"G",1,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,0,"Palearctic",1,"addax_nasomaculatus",4.54636114001593,1,1,0,3,1
"21","Rodentia","Cricetidae","Aegialomys","galapagoensis","Aegialomys galapagoensis","Aegialomys galapagoensis",63.51,1.15,157.855,NA,608.333,NA,76.332,NA,105.793,26.319,NA,3.97,4.534,33.989,NA,22.286,NA,509.924,0.233,2290,0,1,NA,NA,20,0,80,20,0,0,0,0,0,20,0,20,40,4,2,"G",2,0,0,1,0,NA,NA,NA,NA,"Occurs only on isolated islands",NA,NA,"Neotropical",1,"aegialomys_galapagoensis",-2.75655790516725,0,0,0,0,0
"22","Rodentia","Cricetidae","Aegialomys","xanthaeolus","Aegialomys xanthaeolus","Aegialomys xanthaeolus",79.79,1.307,168,NA,982.19,NA,89.103,NA,118.741,27.248,NA,3.677,4.169,37.342,NA,23.524,NA,541.209,0.264,NA,0,1,NA,NA,20,0,80,20,0,0,0,0,0,20,0,20,40,4,2,"G",2,0,0,1,0,1800,500,1300,NA,"Occurs on mainland",NA,NA,"Neotropical",4,"aegialomys_xanthaeolus",-2.52835709566195,0,0,0,0,0
"23","Cetartiodactyla","Bovidae","Aepyceros","melampus","Aepyceros melampus","Aepyceros melampus",52500,173.567,1460,NA,9344,498.97,477.485,395,730,196.74,4,1,1,364.75,5304.2,167,15900,2674.112,9.363,9.937,0,1,1.97,15.25,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,"G",2,0,0,1,0,1700,0,1700,0,"Occurs on mainland",1,0,"Afrotropical",2,"aepyceros_melampus",3.96081316959758,1,1,0,3,1
"24","Diprotodontia","Potoroidae","Aepyprymnus","rufescens","Aepyprymnus rufescens","Aepyprymnus rufescens",2820,12.3,520,NA,4675.042,345.41,339.205,380,319.37,22.9,NA,1.015,3,115.921,NA,162.535,NA,1327.593,1.875,40,0,1,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,"G",1,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,0,"Australasian",2,"aepyprymnus_rufescens",1.03673688495002,1,1,0,3,1
"25","Rodentia","Sciuridae","Aeromys","tephromelas","Aeromys tephromelas","Aeromys tephromelas",1187,10.34,384.93,NA,4522.806,NA,643.057,NA,707.202,64.793,NA,1.035,1.707,236.395,NA,76.696,NA,2012.47,1.165,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,30,0,30,30,3,2,"Ar",1,0,0,1,0,NA,NA,NA,1,"Occurs on mainland",1,0,"Indomalayan",1,"aeromys_tephromelas",0.171429115627531,0,0,0,0,0
"26","Chiroptera","Pteropodidae","Aethalops","alecto","Aethalops alecto","Aethalops alecto",15,0.718,73,46.49,4041.974,NA,544.183,NA,676.813,132.91,NA,0.99,1.59,274.531,NA,72.03,NA,1940.425,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,70,30,0,0,2,1,"Ar",1,0,0,0,1,2700,1000,1700,1,"Occurs on mainland",1,0,"Indomalayan",1,"aethalops_alecto",-4.19970507787993,0,1,0,2,0
"27","Rodentia","Muridae","Aethomys","chrysophilus","Aethomys chrysophilus","Aethomys chrysophilus",79.7,1.25,162.76,NA,273.75,96.05,105.397,NA,138,25.716,NA,3.345,3.143,41.697,4.44,27.354,30.995,568.275,0.264,476.744,0,1,NA,NA,0,0,100,0,0,0,0,0,0,20,0,20,60,3,1,"G",1,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,0,"Afrotropical",3,"aethomys_chrysophilus",-2.52948569318597,0,1,0,2,0
"28","Rodentia","Muridae","Aethomys","kaiseri","Aethomys kaiseri","Aethomys kaiseri",98.495,1.377,162.76,NA,1000.708,96.05,96.05,NA,121.766,25.716,NA,2.9,3.206,41.986,5.27,26.24,35.26,568.174,0.296,NA,0,1,NA,NA,0,0,100,0,0,0,0,0,0,20,0,20,60,3,1,"G",1,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,0,"Afrotropical",2,"aethomys_kaiseri",-2.31774949351382,0,1,0,2,0
"29","Carnivora","Ursidae","Ailuropoda","melanoleuca","Ailuropoda melanoleuca","Ailuropoda melanoleuca",117500,242.727,1422.99,NA,13432,2413.02,2351.485,2192,2504.515,131.179,NA,1.54,0.7,592.969,109.29,182,21999.99,5246.699,14.582,0.18,0,1,3.55,NA,0,10,90,0,10,0,0,0,0,0,0,0,90,1,1,"G",2,0,0,1,0,4100,1200,2900,0,"Occurs on mainland",0,0,"Indomalayan, Palearctic",1,"ailuropoda_melanoleuca",4.76643833358421,1,0,0,1,1
"30","Diprotodontia","Phalangeridae","Ailurops","ursinus","Ailurops ursinus","Ailurops ursinus",7000,18.515,564,NA,2156.542,NA,574.933,NA,624.147,23.401,NA,1.5,1.5,255.838,NA,243.52,NA,1886.342,3.091,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,"Ar",3,0,0,1,0,600,0,600,1,"Occurs only on isolated islands",1,0,"Australasian",2,"ailurops_ursinus",1.94591014905531,1,1,0,3,1
"31","Carnivora","Ailuridae","Ailurus","fulgens","Ailurus fulgens","Ailurus fulgens",4747.54,42.491,608.66,NA,6935,604.05,571.903,550,760.41,123.437,4,2,1,364.75,102.02,136.935,1140,3650,2.497,NA,0,1,1.43,NA,10,10,80,10,10,0,0,0,0,10,0,10,60,1,1,"G",2,0,0,1,0,4800,2500,2300,0,"Occurs on mainland",0,0,"Indomalayan, Palearctic",1,"ailurus_fulgens",1.55762658915591,0,0,0,0,0
"32","Rodentia","Cricetidae","Akodon","aerosus","Akodon aerosus","Akodon aerosus",54.995,0.907,140,NA,973.659,82.177,82.177,NA,107.158,24.386,NA,5,3.6,29.871,NA,21.299,NA,461.145,0.215,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,2400,1200,1200,0,"Occurs on mainland",1,0,"Neotropical",3,"akodon_aerosus",-2.90051300697306,0,0,0,0,0
"33","Rodentia","Cricetidae","Akodon","affinis","Akodon affinis","Akodon affinis",24.89,0.737,140,NA,957.129,NA,71.554,NA,102.048,23.678,NA,3.692,3.639,28.003,NA,22.536,NA,414.254,0.139,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,3000,1300,1700,0,"Occurs on mainland",0,0,"Neotropical",1,"akodon_affinis",-3.69328916260264,0,0,0,0,0
"34","Rodentia","Cricetidae","Akodon","albiventer","Akodon albiventer","Akodon albiventer",28.475,0.965,140,NA,1077.74,NA,78.301,NA,110.494,25.907,NA,3.634,3.551,33.042,NA,22.651,NA,497.86,1.137,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,3,"G",2,0,0,1,0,4500,2350,2150,0,"Occurs on mainland",1,0,"Neotropical",2,"akodon_albiventer",-3.55872876964889,0,0,0,0,0
"35","Rodentia","Cricetidae","Akodon","azarae","Akodon azarae","Akodon azarae",24,0.772,140,NA,304.167,61.87,63.806,NA,87.328,23.522,NA,4.32,1.125,138.284,2.2,14.677,NA,490.872,0.136,7679.65,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,0,"Neotropical",2,"akodon_azarae",-3.72970144863419,0,0,0,0,0
"36","Rodentia","Cricetidae","Akodon","boliviensis","Akodon boliviensis","Akodon boliviensis",26.725,0.739,140,NA,934.148,NA,59.206,NA,93.841,23.201,NA,4.18,3.576,27.503,NA,21.328,NA,395.253,0.145,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,5000,2500,2500,0,"Occurs on mainland",1,0,"Neotropical",2,"akodon_boliviensis",-3.62215582207103,0,0,0,0,0
"37","Rodentia","Cricetidae","Akodon","budini","Akodon budini","Akodon budini",26.9,0.763,140,NA,947.024,NA,70.77,NA,100.909,23.718,NA,3.595,3.635,28.245,NA,22.677,NA,418.187,0.145,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,2500,800,1700,0,"Occurs on mainland",0,0,"Neotropical",1,"akodon_budini",-3.61562899237434,0,0,0,0,0
"38","Rodentia","Cricetidae","Akodon","cursor","Akodon cursor","Akodon cursor",39.77,0.979,140,NA,972.17,NA,86.126,NA,116.579,26.908,NA,3,3.54,33.138,NA,23.851,NA,523.876,0.18,442.88,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,800,0,800,1,"Occurs on mainland",1,0,"Neotropical",1,"akodon_cursor",-3.22464241976254,0,0,0,0,0
"39","Rodentia","Cricetidae","Akodon","dayi","Akodon dayi","Akodon dayi",37.3,0.839,140,NA,971.706,NA,71.427,NA,102.409,24.466,NA,3,3.613,29.003,NA,21.887,NA,437.951,0.174,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,2450,0,2450,0,"Occurs on mainland",0,0,"Neotropical",1,"akodon_dayi",-3.28876195233237,0,0,0,0,0
"40","Rodentia","Cricetidae","Akodon","dolores","Akodon dolores","Akodon dolores",42.5,0.815,140,NA,975.019,NA,66.423,NA,97.889,23.616,NA,3.445,3.602,28.161,2.97,21.885,NA,426.324,0.187,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,0,"Neotropical",1,"akodon_dolores",-3.15825120305177,0,0,0,0,0
"41","Rodentia","Cricetidae","Akodon","fumeus","Akodon fumeus","Akodon fumeus",26.54,0.738,140,NA,952.784,NA,59.379,NA,94.752,23.516,NA,3.993,3.57,27.996,NA,21.507,NA,394.09,0.144,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,3500,1000,2500,0,"Occurs on mainland",0,0,"Neotropical",3,"akodon_fumeus",-3.62910225007808,0,0,0,0,0
"42","Rodentia","Cricetidae","Akodon","iniscatus","Akodon iniscatus","Akodon iniscatus",28.7,0.801,140,NA,960.616,NA,63.844,NA,97.593,23.7,NA,3.725,3.623,28.539,NA,21.538,NA,412.985,0.15,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,0,"Neotropical",4,"akodon_iniscatus",-3.55085815621656,0,0,0,0,0
"43","Rodentia","Cricetidae","Akodon","juninensis","Akodon juninensis","Akodon juninensis",38.99,0.832,136.981,NA,972.718,NA,71.848,NA,102.507,23.944,NA,3.392,3.565,28.986,NA,22.531,NA,438.837,0.178,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,NA,2700,NA,0,"Occurs on mainland",0,0,"Neotropical",2,"akodon_juninensis",-3.24445007598763,0,0,0,0,0
"44","Rodentia","Cricetidae","Akodon","kofordi","Akodon kofordi","Akodon kofordi",29.49,0.782,140,NA,971.911,NA,64.582,NA,97.148,23.574,NA,3.797,3.569,28.161,NA,22.01,NA,411.795,0.153,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,3700,1800,1900,0,"Occurs on mainland",0,0,"Neotropical",3,"akodon_kofordi",-3.52370405615495,0,0,0,0,0
"45","Rodentia","Cricetidae","Akodon","lindberghi","Akodon lindberghi","Akodon lindberghi",26.4,0.763,123.261,NA,932.599,NA,77.732,NA,108.392,25.959,NA,3.552,3.573,29.003,NA,23.501,NA,437.596,0.144,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,0,"Neotropical",1,"akodon_lindberghi",-3.63439126882987,0,0,0,0,0
"46","Rodentia","Cricetidae","Akodon","lutescens","Akodon lutescens","Akodon lutescens",20.69,0.644,118.5,NA,1057.255,NA,65.762,NA,99.227,23.681,NA,3.907,3.675,27.375,NA,21.445,NA,411.995,0.126,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,4360,1130,3230,0,"Occurs on mainland",1,0,"Neotropical",4,"akodon_lutescens",-3.87810478722469,0,0,0,0,0
"47","Rodentia","Cricetidae","Akodon","mimus","Akodon mimus","Akodon mimus",23.99,0.656,92,NA,970.54,NA,80.194,NA,106.433,25.322,NA,3.703,3.545,28.79,NA,23.236,NA,410.84,0.136,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,3700,2000,1700,0,"Occurs on mainland",0,0,"Neotropical",2,"akodon_mimus",-3.73011820213053,0,0,0,0,0
"48","Rodentia","Cricetidae","Akodon","molinae","Akodon molinae","Akodon molinae",35.15,0.802,140,NA,913.865,28.07,28.07,NA,91.25,23.218,NA,3.77,3.9,29.979,2.97,26.24,NA,379.704,0.168,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,0,"Neotropical",3,"akodon_molinae",-3.34813066072546,0,0,0,0,0
"49","Rodentia","Cricetidae","Akodon","mollis","Akodon mollis","Akodon mollis",30.39,1.121,140,NA,952.974,NA,107.252,NA,137.935,25.831,NA,3.643,3.371,34.884,NA,22.847,NA,505.794,0.155,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,4900,0,4900,0,"Occurs on mainland",1,0,"Neotropical",3,"akodon_mollis",-3.49364167205344,0,0,0,0,0
"50","Rodentia","Cricetidae","Akodon","orophilus","Akodon orophilus","Akodon orophilus",34.69,0.815,140,NA,965.528,NA,68.933,NA,100.798,23.907,NA,3.585,3.663,28.654,NA,22.298,NA,425.816,0.167,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,3700,1800,1900,0,"Occurs on mainland",0,0,"Neotropical",4,"akodon_orophilus",-3.36130381800048,0,0,0,0,0
"51","Rodentia","Cricetidae","Akodon","polopi","Akodon polopi","Akodon spegazzinii",33.075,0.828,129.748,NA,950.837,NA,73.386,NA,104.007,24.277,NA,3.59,3.597,29.63,NA,22.845,NA,450.556,0.163,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,2250,1300,950,NA,NA,NA,NA,"Neotropical",1,"akodon_spegazzinii",-3.40897756898112,0,0,0,0,0
"52","Rodentia","Cricetidae","Akodon","serrensis","Akodon serrensis","Akodon serrensis",28.3,0.842,117.985,NA,978.646,NA,69.808,NA,100.614,23.661,NA,3.723,3.497,27.839,NA,22.001,NA,411.969,0.149,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,2700,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",1,"akodon_serrensis",-3.56489347433295,0,0,0,0,0
"53","Rodentia","Cricetidae","Akodon","siberiae","Akodon siberiae","Akodon siberiae",34.6,0.827,133.87,NA,971.726,NA,74.318,NA,104.783,24.313,NA,3.401,3.667,29.718,NA,22.951,NA,451.232,0.167,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,3100,1800,1300,0,"Occurs on mainland",0,0,"Neotropical",1,"akodon_siberiae",-3.36390159691846,0,0,0,0,0
"54","Rodentia","Cricetidae","Akodon","simulator","Akodon simulator","Akodon simulator",40,0.846,140,NA,976.544,NA,74.944,NA,103.644,24.78,NA,3,3.601,29.268,NA,23.174,NA,441.868,0.18,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,2500,400,2100,0,"Occurs on mainland",0,0,"Neotropical",3,"akodon_simulator",-3.2188758248682,0,0,0,0,0
"55","Rodentia","Cricetidae","Akodon","subfuscus","Akodon subfuscus","Akodon subfuscus",27.5,0.764,140,NA,935.529,NA,59.061,NA,93.83,23.183,NA,4.18,3.585,27.597,NA,21.398,NA,396.431,0.147,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,4500,1900,2600,0,"Occurs on mainland",1,0,"Neotropical",2,"akodon_subfuscus",-3.59356927430961,0,0,0,0,0
"56","Rodentia","Cricetidae","Akodon","sylvanus","Akodon sylvanus","Akodon sylvanus",38.99,0.876,140,NA,978.264,NA,77.938,NA,107.705,25.259,NA,3,3.586,30.453,NA,22.793,NA,464.307,0.178,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,2400,900,1500,0,"Occurs on mainland",0,0,"Neotropical",2,"akodon_sylvanus",-3.24445007598763,0,0,0,0,0
"57","Rodentia","Cricetidae","Akodon","toba","Akodon toba","Akodon toba",40,0.885,140,NA,990.214,NA,78.662,NA,107.978,25.401,NA,3,3.604,30.304,NA,23.517,NA,466.195,0.18,NA,0,1,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,2,"G",2,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,0,"Neotropical",1,"akodon_toba",-3.2188758248682,0,0,0,0,0
