"","order","family","genus","species","iucn2020_binomial","phylacine_binomial","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","binomial_name","log_body_mass","picky","herbivore","carnivore","picky_herb","picky_carn"
"1407","Rodentia","Muridae","Meriones","rex","Meriones rex","Meriones rex",125.25,2.168,186.925,NA,1517.175,NA,98.869,NA,127.736,26.257,NA,4.119,3.004,47.885,NA,24.652,NA,600.601,0.338,NA,0,1,NA,NA,20,0,80,20,0,0,0,0,0,10,0,20,50,3,2,"G",1,0,0,1,0,2200,1350,850,NA,"Occurs on mainland",NA,NA,"Afrotropical, Palearctic",3,"meriones_rex",-2.07744353901716,0,0,0,0,0
"1408","Rodentia","Muridae","Meriones","shawi","Meriones shawi","Meriones shawi",137.8,1.632,186.116,NA,1700.292,92.22,97.242,120,129.27,25.487,NA,5.625,3.82,31.229,4.405,26.069,25,594.39,0.356,NA,0,1,NA,NA,20,0,80,20,0,0,0,0,0,10,0,20,50,3,2,"G",2,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,0,"Palearctic",2,"meriones_shawi",-1.98195192040258,0,0,0,0,0
"1409","Rodentia","Muridae","Meriones","tamariscinus","Meriones tamariscinus","Meriones tamariscinus",120,1.47,176.821,NA,1487.375,NA,88.698,NA,119.024,25.133,NA,4.125,2,26.982,3,17.242,15.455,567.147,0.33,NA,0,1,NA,NA,20,0,80,20,0,0,0,0,0,10,0,20,50,3,1,"G",1,0,0,1,0,2200,NA,NA,NA,"Occurs on mainland",NA,NA,"Palearctic",4,"meriones_tamariscinus",-2.12026353620009,0,0,0,0,0
"1410","Rodentia","Muridae","Meriones","tristrami","Meriones tristrami","Meriones tristrami",111.62,1.464,181.505,NA,1700.292,97.242,97.242,NA,122.578,25.335,NA,5.605,3.82,31.229,3.675,26.069,25,594.104,0.317,NA,0,1,NA,NA,20,0,80,20,0,0,0,0,0,10,0,20,50,3,1,"G",2,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",1,0,"Palearctic",1,"meriones_tristrami",-2.19265503362185,0,0,0,0,0
"1411","Rodentia","Muridae","Meriones","unguiculatus","Meriones unguiculatus","Meriones unguiculatus",58.1,1.13,112.5,NA,2299.5,56.5,56.5,36,91,25.09,NA,5,3.84,45.969,2.9,24,14.3,503.887,0.222,14560,0,1,NA,NA,20,0,80,20,0,0,0,0,0,10,0,20,50,3,1,"G",2,0,0,1,0,NA,NA,NA,NA,"Occurs on mainland",NA,NA,"Indomalayan, Palearctic",3,"meriones_unguiculatus",-2.84558961512427,0,0,0,0,0
"1412","Eulipotyphla","Erinaceidae","Mesechinus","dauuricus","Mesechinus dauuricus","Mesechinus dauuricus",281.63,3.004,207.335,NA,3121.766,NA,283.306,NA,321.351,38.225,NA,3.589,1.614,188.588,NA,45.717,NA,1095.714,3.493,NA,0,1,NA,NA,0,70,30,0,0,0,0,40,30,10,0,20,0,3,3,"G",1,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",1,0,"Palearctic",2,"mesechinus_dauuricus",-1.26716112628169,0,0,0,0,0
"1413","Eulipotyphla","Erinaceidae","Mesechinus","hughi","Mesechinus hughi","Mesechinus hughi",229.57,3.023,200,NA,2457.38,NA,295.158,NA,329.571,39.401,NA,3.434,1.532,214.762,NA,46.968,NA,998.076,0.472,NA,0,1,NA,NA,0,70,30,0,0,0,0,40,30,10,0,20,0,3,2,"G",1,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",1,0,"Palearctic",1,"mesechinus_hughi",-1.47154728509466,0,0,0,0,0
"1414","Rodentia","Muridae","Mesembriomys","gouldii","Mesembriomys gouldii","Mesembriomys gouldii",900,4.59,325.495,NA,2853.083,51.02,70.612,NA,95.035,44.03,4,1.96,4,82.814,34.9,47.48,440.5,712.226,1,NA,0,2,NA,NA,20,0,80,20,0,0,0,0,0,0,80,0,0,2,2,"Ar",1,0,0,1,0,700,0,700,0,"Occurs on mainland",0,0,"Australasian",2,"mesembriomys_gouldii",-0.105360515657826,0,0,0,0,0
"1415","Rodentia","Cricetidae","Mesocricetus","auratus","Mesocricetus auratus","Mesocricetus auratus",105,1.12,180,NA,3650,50.97,48,48,73.6,16,NA,8.69,3.75,49.67,2.33,20.505,22.93,787.913,0.307,NA,1,1,NA,NA,0,10,90,0,10,0,0,0,0,30,0,30,30,3,2,"G",1,0,0,1,0,NA,NA,NA,NA,"Occurs on mainland",NA,NA,"Palearctic",1,"mesocricetus_auratus",-2.25379492882461,0,0,0,0,0
"1416","Rodentia","Cricetidae","Mesocricetus","brandti","Mesocricetus brandti","Mesocricetus brandti",108.2,1.298,180,NA,3650,43.14,45.006,48,50,15.354,NA,8.59,3,47.306,2.33,20,22.93,501.24,0.312,NA,0,1,NA,NA,0,10,90,0,10,0,0,0,0,30,0,30,30,3,2,"G",1,0,0,1,0,2600,0,2600,0,"Occurs on mainland",1,0,"Palearctic",3,"mesocricetus_brandti",-2.22377391256976,0,0,0,0,0
